
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Sat Nov 1 2014,Box Score,Denver Nuggets,91,Oklahoma City Thunder,102,,
Sat Nov 1 2014,Box Score,Toronto Raptors,108,Orlando Magic,95,,
Sat Nov 1 2014,Box Score,Miami Heat,114,Philadelphia 76ers,96,,
Sat Nov 1 2014,Box Score,Phoenix Suns,91,Utah Jazz,118,,
Sat Nov 1 2014,Box Score,Milwaukee Bucks,97,Washington Wizards,108,,
Sun Nov 2 2014,Box Score,Sacramento Kings,98,Los Angeles Clippers,92,,
Sun Nov 2 2014,Box Score,Toronto Raptors,102,Miami Heat,107,,
Sun Nov 2 2014,Box Score,Charlotte Hornets,93,New York Knicks,96,,
Sun Nov 2 2014,Box Score,Golden State Warriors,95,Portland Trail Blazers,90,,
Mon Nov 3 2014,Box Score,Oklahoma City Thunder,85,Brooklyn Nets,116,,
Mon Nov 3 2014,Box Score,Boston Celtics,113,Dallas Mavericks,118,,
Mon Nov 3 2014,Box Score,Sacramento Kings,110,Denver Nuggets,105,,
Mon Nov 3 2014,Box Score,Utah Jazz,101,Los Angeles Clippers,107,,
Mon Nov 3 2014,Box Score,New Orleans Pelicans,81,Memphis Grizzlies,93,,
Mon Nov 3 2014,Box Score,Houston Rockets,104,Philadelphia 76ers,93,,
Tue Nov 4 2014,Box Score,Orlando Magic,90,Chicago Bulls,98,,
Tue Nov 4 2014,Box Score,Milwaukee Bucks,87,Indiana Pacers,81,,
Tue Nov 4 2014,Box Score,Phoenix Suns,112,Los Angeles Lakers,106,,
Tue Nov 4 2014,Box Score,Houston Rockets,108,Miami Heat,91,,
Tue Nov 4 2014,Box Score,Charlotte Hornets,91,New Orleans Pelicans,100,,
Tue Nov 4 2014,Box Score,Washington Wizards,98,New York Knicks,83,,
Tue Nov 4 2014,Box Score,Cleveland Cavaliers,82,Portland Trail Blazers,101,,
Tue Nov 4 2014,Box Score,Oklahoma City Thunder,88,Toronto Raptors,100,,
Wed Nov 5 2014,Box Score,Toronto Raptors,110,Boston Celtics,107,,
Wed Nov 5 2014,Box Score,Minnesota Timberwolves,98,Brooklyn Nets,91,,
Wed Nov 5 2014,Box Score,Miami Heat,89,Charlotte Hornets,96,,
Wed Nov 5 2014,Box Score,New York Knicks,95,Detroit Pistons,98,,
Wed Nov 5 2014,Box Score,Los Angeles Clippers,104,Golden State Warriors,121,,
Wed Nov 5 2014,Box Score,Chicago Bulls,95,Milwaukee Bucks,86,,
Wed Nov 5 2014,Box Score,Orlando Magic,91,Philadelphia 76ers,89,,
Wed Nov 5 2014,Box Score,Memphis Grizzlies,102,Phoenix Suns,91,,
Wed Nov 5 2014,Box Score,Denver Nuggets,109,Sacramento Kings,131,,
Wed Nov 5 2014,Box Score,Atlanta Hawks,92,San Antonio Spurs,94,,
Wed Nov 5 2014,Box Score,Cleveland Cavaliers,100,Utah Jazz,102,,
Wed Nov 5 2014,Box Score,Indiana Pacers,94,Washington Wizards,96,OT,
Thu Nov 6 2014,Box Score,San Antonio Spurs,81,Houston Rockets,98,,
Thu Nov 6 2014,Box Score,Dallas Mavericks,87,Portland Trail Blazers,108,,
Fri Nov 7 2014,Box Score,Indiana Pacers,98,Boston Celtics,101,,
Fri Nov 7 2014,Box Score,New York Knicks,99,Brooklyn Nets,110,,
Fri Nov 7 2014,Box Score,Atlanta Hawks,119,Charlotte Hornets,122,2OT,
Fri Nov 7 2014,Box Score,Cleveland Cavaliers,110,Denver Nuggets,101,,
Fri Nov 7 2014,Box Score,Milwaukee Bucks,95,Detroit Pistons,98,,
Fri Nov 7 2014,Box Score,Memphis Grizzlies,91,Oklahoma City Thunder,89,,
Fri Nov 7 2014,Box Score,Minnesota Timberwolves,103,Orlando Magic,112,OT,
Fri Nov 7 2014,Box Score,Chicago Bulls,118,Philadelphia 76ers,115,,
Fri Nov 7 2014,Box Score,Sacramento Kings,114,Phoenix Suns,112,2OT,
Fri Nov 7 2014,Box Score,Washington Wizards,84,Toronto Raptors,103,,
Fri Nov 7 2014,Box Score,Dallas Mavericks,105,Utah Jazz,82,,
Sat Nov 8 2014,Box Score,New York Knicks,96,Atlanta Hawks,103,,
Sat Nov 8 2014,Box Score,Boston Celtics,106,Chicago Bulls,101,,
Sat Nov 8 2014,Box Score,Golden State Warriors,98,Houston Rockets,87,,
Sat Nov 8 2014,Box Score,Washington Wizards,97,Indiana Pacers,90,,
Sat Nov 8 2014,Box Score,Portland Trail Blazers,102,Los Angeles Clippers,106,,
Sat Nov 8 2014,Box Score,Minnesota Timberwolves,92,Miami Heat,102,,
Sat Nov 8 2014,Box Score,Memphis Grizzlies,92,Milwaukee Bucks,93,,
Sat Nov 8 2014,Box Score,New Orleans Pelicans,100,San Antonio Spurs,99,,
Sun Nov 9 2014,Box Score,Orlando Magic,96,Brooklyn Nets,104,,
Sun Nov 9 2014,Box Score,Miami Heat,105,Dallas Mavericks,96,,
Sun Nov 9 2014,Box Score,Utah Jazz,97,Detroit Pistons,96,,
Sun Nov 9 2014,Box Score,Charlotte Hornets,92,Los Angeles Lakers,107,,
Sun Nov 9 2014,Box Score,Sacramento Kings,93,Oklahoma City Thunder,101,,
Sun Nov 9 2014,Box Score,Golden State Warriors,95,Phoenix Suns,107,,
Sun Nov 9 2014,Box Score,Denver Nuggets,100,Portland Trail Blazers,116,,
Sun Nov 9 2014,Box Score,Philadelphia 76ers,88,Toronto Raptors,120,,
Mon Nov 10 2014,Box Score,Detroit Pistons,91,Chicago Bulls,102,,
Mon Nov 10 2014,Box Score,New Orleans Pelicans,111,Cleveland Cavaliers,118,,
Mon Nov 10 2014,Box Score,Utah Jazz,86,Indiana Pacers,97,,
Mon Nov 10 2014,Box Score,San Antonio Spurs,89,Los Angeles Clippers,85,,
Mon Nov 10 2014,Box Score,Atlanta Hawks,91,New York Knicks,85,,
Tue Nov 11 2014,Box Score,Sacramento Kings,98,Dallas Mavericks,106,,
Tue Nov 11 2014,Box Score,San Antonio Spurs,113,Golden State Warriors,100,,
Tue Nov 11 2014,Box Score,Los Angeles Lakers,102,Memphis Grizzlies,107,,
Tue Nov 11 2014,Box Score,Oklahoma City Thunder,78,Milwaukee Bucks,85,,
Tue Nov 11 2014,Box Score,Charlotte Hornets,100,Portland Trail Blazers,102,,
Tue Nov 11 2014,Box Score,Orlando Magic,100,Toronto Raptors,104,,
Wed Nov 12 2014,Box Score,Utah Jazz,97,Atlanta Hawks,100,,
Wed Nov 12 2014,Box Score,Oklahoma City Thunder,109,Boston Celtics,94,,
Wed Nov 12 2014,Box Score,Portland Trail Blazers,130,Denver Nuggets,113,,
Wed Nov 12 2014,Box Score,Indiana Pacers,81,Miami Heat,75,,
Wed Nov 12 2014,Box Score,Houston Rockets,113,Minnesota Timberwolves,101,,at Mexico City Arena Mexico City Mexico
Wed Nov 12 2014,Box Score,Los Angeles Lakers,102,New Orleans Pelicans,109,,
Wed Nov 12 2014,Box Score,Orlando Magic,97,New York Knicks,95,,
Wed Nov 12 2014,Box Score,Brooklyn Nets,104,Phoenix Suns,112,,
Wed Nov 12 2014,Box Score,Detroit Pistons,103,Washington Wizards,107,,
Thu Nov 13 2014,Box Score,Philadelphia 76ers,70,Dallas Mavericks,123,,
Thu Nov 13 2014,Box Score,Brooklyn Nets,99,Golden State Warriors,107,,
Thu Nov 13 2014,Box Score,Sacramento Kings,110,Memphis Grizzlies,111,,
Thu Nov 13 2014,Box Score,Chicago Bulls,100,Toronto Raptors,93,,
Fri Nov 14 2014,Box Score,Miami Heat,103,Atlanta Hawks,114,,
Fri Nov 14 2014,Box Score,Cleveland Cavaliers,122,Boston Celtics,121,,
Fri Nov 14 2014,Box Score,Philadelphia 76ers,87,Houston Rockets,88,,
Fri Nov 14 2014,Box Score,Denver Nuggets,108,Indiana Pacers,87,,
Fri Nov 14 2014,Box Score,San Antonio Spurs,93,Los Angeles Lakers,80,,
Fri Nov 14 2014,Box Score,Minnesota Timberwolves,91,New Orleans Pelicans,139,,
Fri Nov 14 2014,Box Score,Utah Jazz,102,New York Knicks,100,,
Fri Nov 14 2014,Box Score,Detroit Pistons,96,Oklahoma City Thunder,89,OT,
Fri Nov 14 2014,Box Score,Milwaukee Bucks,85,Orlando Magic,101,,
Fri Nov 14 2014,Box Score,Charlotte Hornets,103,Phoenix Suns,95,,
Sat Nov 15 2014,Box Score,Indiana Pacers,99,Chicago Bulls,90,,
Sat Nov 15 2014,Box Score,Atlanta Hawks,94,Cleveland Cavaliers,127,,
Sat Nov 15 2014,Box Score,Minnesota Timberwolves,117,Dallas Mavericks,131,,
Sat Nov 15 2014,Box Score,Charlotte Hornets,87,Golden State Warriors,112,,
Sat Nov 15 2014,Box Score,Phoenix Suns,107,Los Angeles Clippers,120,,
Sat Nov 15 2014,Box Score,Detroit Pistons,88,Memphis Grizzlies,95,,
Sat Nov 15 2014,Box Score,Brooklyn Nets,87,Portland Trail Blazers,97,,
Sat Nov 15 2014,Box Score,San Antonio Spurs,91,Sacramento Kings,94,,
Sat Nov 15 2014,Box Score,Utah Jazz,93,Toronto Raptors,111,,
Sat Nov 15 2014,Box Score,Orlando Magic,93,Washington Wizards,98,,
Sun Nov 16 2014,Box Score,Golden State Warriors,136,Los Angeles Lakers,115,,
Sun Nov 16 2014,Box Score,Milwaukee Bucks,91,Miami Heat,84,,
Sun Nov 16 2014,Box Score,Denver Nuggets,93,New York Knicks,109,,
Sun Nov 16 2014,Box Score,Houston Rockets,69,Oklahoma City Thunder,65,,
Mon Nov 17 2014,Box Score,Phoenix Suns,118,Boston Celtics,114,,
Mon Nov 17 2014,Box Score,Miami Heat,95,Brooklyn Nets,83,,
Mon Nov 17 2014,Box Score,Dallas Mavericks,107,Charlotte Hornets,80,,
Mon Nov 17 2014,Box Score,Denver Nuggets,106,Cleveland Cavaliers,97,,
Mon Nov 17 2014,Box Score,Orlando Magic,107,Detroit Pistons,93,,
Mon Nov 17 2014,Box Score,Chicago Bulls,105,Los Angeles Clippers,89,,
Mon Nov 17 2014,Box Score,Houston Rockets,93,Memphis Grizzlies,119,,
Mon Nov 17 2014,Box Score,New Orleans Pelicans,93,Portland Trail Blazers,102,,
Mon Nov 17 2014,Box Score,Philadelphia 76ers,75,San Antonio Spurs,100,,
Tue Nov 18 2014,Box Score,Los Angeles Lakers,114,Atlanta Hawks,109,,
Tue Nov 18 2014,Box Score,New York Knicks,113,Milwaukee Bucks,117,,
Tue Nov 18 2014,Box Score,New Orleans Pelicans,106,Sacramento Kings,100,,
Tue Nov 18 2014,Box Score,Oklahoma City Thunder,81,Utah Jazz,98,,
Wed Nov 19 2014,Box Score,Milwaukee Bucks,122,Brooklyn Nets,118,3OT,
Wed Nov 19 2014,Box Score,San Antonio Spurs,92,Cleveland Cavaliers,90,,
Wed Nov 19 2014,Box Score,Oklahoma City Thunder,100,Denver Nuggets,107,,
Wed Nov 19 2014,Box Score,Phoenix Suns,88,Detroit Pistons,86,,
Wed Nov 19 2014,Box Score,Los Angeles Lakers,98,Houston Rockets,92,,
Wed Nov 19 2014,Box Score,Charlotte Hornets,86,Indiana Pacers,88,,
Wed Nov 19 2014,Box Score,New York Knicks,99,Minnesota Timberwolves,115,,
Wed Nov 19 2014,Box Score,Los Angeles Clippers,114,Orlando Magic,90,,
Wed Nov 19 2014,Box Score,Boston Celtics,101,Philadelphia 76ers,90,,
Wed Nov 19 2014,Box Score,Memphis Grizzlies,92,Toronto Raptors,96,,
Wed Nov 19 2014,Box Score,Dallas Mavericks,105,Washington Wizards,102,,
Thu Nov 20 2014,Box Score,Los Angeles Clippers,110,Miami Heat,93,,
Thu Nov 20 2014,Box Score,Chicago Bulls,88,Sacramento Kings,103,,
Fri Nov 21 2014,Box Score,Detroit Pistons,89,Atlanta Hawks,99,,
Fri Nov 21 2014,Box Score,Orlando Magic,105,Charlotte Hornets,100,,
Fri Nov 21 2014,Box Score,Los Angeles Lakers,106,Dallas Mavericks,140,,
Fri Nov 21 2014,Box Score,New Orleans Pelicans,97,Denver Nuggets,117,,
Fri Nov 21 2014,Box Score,Utah Jazz,88,Golden State Warriors,101,,
Fri Nov 21 2014,Box Score,Boston Celtics,100,Memphis Grizzlies,117,,
Fri Nov 21 2014,Box Score,San Antonio Spurs,121,Minnesota Timberwolves,92,,
Fri Nov 21 2014,Box Score,Brooklyn Nets,94,Oklahoma City Thunder,92,,
Fri Nov 21 2014,Box Score,Phoenix Suns,122,Philadelphia 76ers,96,,
Fri Nov 21 2014,Box Score,Chicago Bulls,87,Portland Trail Blazers,105,,
Fri Nov 21 2014,Box Score,Milwaukee Bucks,82,Toronto Raptors,124,,
Fri Nov 21 2014,Box Score,Cleveland Cavaliers,78,Washington Wizards,91,,
Sat Nov 22 2014,Box Score,Toronto Raptors,110,Cleveland Cavaliers,93,,
Sat Nov 22 2014,Box Score,Dallas Mavericks,92,Houston Rockets,95,,
Sat Nov 22 2014,Box Score,Phoenix Suns,106,Indiana Pacers,83,,
Sat Nov 22 2014,Box Score,Washington Wizards,111,Milwaukee Bucks,100,,
Sat Nov 22 2014,Box Score,Sacramento Kings,113,Minnesota Timberwolves,101,,
Sat Nov 22 2014,Box Score,Philadelphia 76ers,83,New York Knicks,91,,
Sat Nov 22 2014,Box Score,Miami Heat,99,Orlando Magic,92,,
Sat Nov 22 2014,Box Score,Brooklyn Nets,87,San Antonio Spurs,99,,
Sat Nov 22 2014,Box Score,New Orleans Pelicans,106,Utah Jazz,94,,
Sun Nov 23 2014,Box Score,Portland Trail Blazers,94,Boston Celtics,88,,
Sun Nov 23 2014,Box Score,Denver Nuggets,101,Los Angeles Lakers,94,OT,
Sun Nov 23 2014,Box Score,Los Angeles Clippers,91,Memphis Grizzlies,107,,
Sun Nov 23 2014,Box Score,Charlotte Hornets,93,Miami Heat,94,,
Sun Nov 23 2014,Box Score,Golden State Warriors,91,Oklahoma City Thunder,86,,
Mon Nov 24 2014,Box Score,Los Angeles Clippers,113,Charlotte Hornets,92,,
Mon Nov 24 2014,Box Score,Orlando Magic,74,Cleveland Cavaliers,106,,
Mon Nov 24 2014,Box Score,Indiana Pacers,111,Dallas Mavericks,100,,
Mon Nov 24 2014,Box Score,New York Knicks,86,Houston Rockets,91,,
Mon Nov 24 2014,Box Score,Portland Trail Blazers,114,Philadelphia 76ers,104,,
Mon Nov 24 2014,Box Score,Phoenix Suns,100,Toronto Raptors,104,,
Mon Nov 24 2014,Box Score,Chicago Bulls,97,Utah Jazz,95,,
Tue Nov 25 2014,Box Score,Chicago Bulls,109,Denver Nuggets,114,,
Tue Nov 25 2014,Box Score,Golden State Warriors,114,Miami Heat,97,,
Tue Nov 25 2014,Box Score,Detroit Pistons,86,Milwaukee Bucks,98,,
Tue Nov 25 2014,Box Score,Sacramento Kings,99,New Orleans Pelicans,89,,
Tue Nov 25 2014,Box Score,Atlanta Hawks,106,Washington Wizards,102,,
Wed Nov 26 2014,Box Score,Toronto Raptors,126,Atlanta Hawks,115,,
Wed Nov 26 2014,Box Score,Portland Trail Blazers,105,Charlotte Hornets,97,,
Wed Nov 26 2014,Box Score,Washington Wizards,87,Cleveland Cavaliers,113,,
Wed Nov 26 2014,Box Score,New York Knicks,102,Dallas Mavericks,109,OT,
Wed Nov 26 2014,Box Score,Los Angeles Clippers,104,Detroit Pistons,98,,
Wed Nov 26 2014,Box Score,Sacramento Kings,89,Houston Rockets,102,,
Wed Nov 26 2014,Box Score,Memphis Grizzlies,99,Los Angeles Lakers,93,,
Wed Nov 26 2014,Box Score,Milwaukee Bucks,103,Minnesota Timberwolves,86,,
Wed Nov 26 2014,Box Score,Utah Jazz,82,Oklahoma City Thunder,97,,
Wed Nov 26 2014,Box Score,Golden State Warriors,111,Orlando Magic,96,,
Wed Nov 26 2014,Box Score,Brooklyn Nets,99,Philadelphia 76ers,91,,
Wed Nov 26 2014,Box Score,Denver Nuggets,112,Phoenix Suns,120,,
Wed Nov 26 2014,Box Score,Indiana Pacers,100,San Antonio Spurs,106,,
Fri Nov 28 2014,Box Score,New Orleans Pelicans,91,Atlanta Hawks,100,,
Fri Nov 28 2014,Box Score,Chicago Bulls,109,Boston Celtics,102,,
Fri Nov 28 2014,Box Score,Golden State Warriors,106,Charlotte Hornets,101,,
Fri Nov 28 2014,Box Score,Phoenix Suns,97,Denver Nuggets,122,,
Fri Nov 28 2014,Box Score,Milwaukee Bucks,104,Detroit Pistons,88,,
Fri Nov 28 2014,Box Score,Los Angeles Clippers,102,Houston Rockets,85,,
Fri Nov 28 2014,Box Score,Orlando Magic,83,Indiana Pacers,98,,
Fri Nov 28 2014,Box Score,Minnesota Timberwolves,120,Los Angeles Lakers,119,,
Fri Nov 28 2014,Box Score,New York Knicks,78,Oklahoma City Thunder,105,,
Fri Nov 28 2014,Box Score,Memphis Grizzlies,112,Portland Trail Blazers,99,,
Fri Nov 28 2014,Box Score,Sacramento Kings,104,San Antonio Spurs,112,,
Fri Nov 28 2014,Box Score,Dallas Mavericks,106,Toronto Raptors,102,,
Sat Nov 29 2014,Box Score,Charlotte Hornets,75,Atlanta Hawks,105,,
Sat Nov 29 2014,Box Score,Indiana Pacers,97,Cleveland Cavaliers,109,,
Sat Nov 29 2014,Box Score,Houston Rockets,117,Milwaukee Bucks,103,,
Sat Nov 29 2014,Box Score,Dallas Mavericks,110,Philadelphia 76ers,103,,
Sat Nov 29 2014,Box Score,Los Angeles Clippers,112,Utah Jazz,96,,
Sat Nov 29 2014,Box Score,New Orleans Pelicans,80,Washington Wizards,83,,
Sun Nov 30 2014,Box Score,San Antonio Spurs,111,Boston Celtics,89,,
Sun Nov 30 2014,Box Score,Chicago Bulls,102,Brooklyn Nets,84,,
Sun Nov 30 2014,Box Score,Golden State Warriors,104,Detroit Pistons,93,,
Sun Nov 30 2014,Box Score,Toronto Raptors,122,Los Angeles Lakers,129,OT,
Sun Nov 30 2014,Box Score,Miami Heat,86,New York Knicks,79,,
Sun Nov 30 2014,Box Score,Orlando Magic,93,Phoenix Suns,90,,
Sun Nov 30 2014,Box Score,Minnesota Timberwolves,93,Portland Trail Blazers,107,,
Sun Nov 30 2014,Box Score,Memphis Grizzlies,97,Sacramento Kings,85,,
Mon Dec 1 2014,Box Score,Minnesota Timberwolves,101,Los Angeles Clippers,127,,
Mon Dec 1 2014,Box Score,San Antonio Spurs,109,Philadelphia 76ers,103,,
Mon Dec 1 2014,Box Score,Denver Nuggets,103,Utah Jazz,101,,
Mon Dec 1 2014,Box Score,Miami Heat,86,Washington Wizards,107,,
Tue Dec 2 2014,Box Score,Boston Celtics,105,Atlanta Hawks,109,,
Tue Dec 2 2014,Box Score,Dallas Mavericks,132,Chicago Bulls,129,2OT,
Tue Dec 2 2014,Box Score,Milwaukee Bucks,108,Cleveland Cavaliers,111,,
Tue Dec 2 2014,Box Score,Portland Trail Blazers,105,Denver Nuggets,103,,
Tue Dec 2 2014,Box Score,Los Angeles Lakers,106,Detroit Pistons,96,,
Tue Dec 2 2014,Box Score,Orlando Magic,97,Golden State Warriors,98,,
Tue Dec 2 2014,Box Score,Oklahoma City Thunder,104,New Orleans Pelicans,112,,
Tue Dec 2 2014,Box Score,Brooklyn Nets,98,New York Knicks,93,,
Tue Dec 2 2014,Box Score,Indiana Pacers,99,Phoenix Suns,116,,
Tue Dec 2 2014,Box Score,Toronto Raptors,117,Sacramento Kings,109,,
Wed Dec 3 2014,Box Score,Detroit Pistons,102,Boston Celtics,109,OT,
Wed Dec 3 2014,Box Score,San Antonio Spurs,93,Brooklyn Nets,95,OT,
Wed Dec 3 2014,Box Score,Chicago Bulls,102,Charlotte Hornets,95,,
Wed Dec 3 2014,Box Score,Memphis Grizzlies,96,Houston Rockets,105,,
Wed Dec 3 2014,Box Score,Orlando Magic,86,Los Angeles Clippers,114,,
Wed Dec 3 2014,Box Score,Atlanta Hawks,112,Miami Heat,102,,
Wed Dec 3 2014,Box Score,Dallas Mavericks,107,Milwaukee Bucks,105,,
Wed Dec 3 2014,Box Score,Philadelphia 76ers,85,Minnesota Timberwolves,77,,
Wed Dec 3 2014,Box Score,Toronto Raptors,123,Utah Jazz,104,,
Wed Dec 3 2014,Box Score,Los Angeles Lakers,95,Washington Wizards,111,,
Thu Dec 4 2014,Box Score,New Orleans Pelicans,85,Golden State Warriors,112,,
Thu Dec 4 2014,Box Score,Cleveland Cavaliers,90,New York Knicks,87,,
Thu Dec 4 2014,Box Score,Indiana Pacers,82,Portland Trail Blazers,88,,
Fri Dec 5 2014,Box Score,Los Angeles Lakers,96,Boston Celtics,113,,
Fri Dec 5 2014,Box Score,Atlanta Hawks,98,Brooklyn Nets,75,,
Fri Dec 5 2014,Box Score,New York Knicks,102,Charlotte Hornets,103,,
Fri Dec 5 2014,Box Score,Phoenix Suns,118,Dallas Mavericks,106,,
Fri Dec 5 2014,Box Score,San Antonio Spurs,107,Memphis Grizzlies,101,,
Fri Dec 5 2014,Box Score,Miami Heat,85,Milwaukee Bucks,109,,
Fri Dec 5 2014,Box Score,Houston Rockets,114,Minnesota Timberwolves,112,OT,
Fri Dec 5 2014,Box Score,Oklahoma City Thunder,103,Philadelphia 76ers,91,,
Fri Dec 5 2014,Box Score,Indiana Pacers,101,Sacramento Kings,102,OT,
Fri Dec 5 2014,Box Score,Cleveland Cavaliers,105,Toronto Raptors,91,,
Fri Dec 5 2014,Box Score,Orlando Magic,98,Utah Jazz,93,,
Fri Dec 5 2014,Box Score,Denver Nuggets,89,Washington Wizards,119,,
Sat Dec 6 2014,Box Score,Golden State Warriors,112,Chicago Bulls,102,,
Sat Dec 6 2014,Box Score,Philadelphia 76ers,108,Detroit Pistons,101,OT,
Sat Dec 6 2014,Box Score,Phoenix Suns,95,Houston Rockets,100,,
Sat Dec 6 2014,Box Score,New Orleans Pelicans,100,Los Angeles Clippers,120,,
Sat Dec 6 2014,Box Score,Orlando Magic,105,Sacramento Kings,96,,
Sat Dec 6 2014,Box Score,Minnesota Timberwolves,101,San Antonio Spurs,123,,
Sun Dec 7 2014,Box Score,Denver Nuggets,84,Atlanta Hawks,96,,
Sun Dec 7 2014,Box Score,Washington Wizards,93,Boston Celtics,101,,
Sun Dec 7 2014,Box Score,Milwaukee Bucks,102,Dallas Mavericks,125,,
Sun Dec 7 2014,Box Score,Oklahoma City Thunder,96,Detroit Pistons,94,,
Sun Dec 7 2014,Box Score,New Orleans Pelicans,104,Los Angeles Lakers,87,,
Sun Dec 7 2014,Box Score,Miami Heat,87,Memphis Grizzlies,103,,
Sun Dec 7 2014,Box Score,Portland Trail Blazers,103,New York Knicks,99,,
Mon Dec 8 2014,Box Score,Cleveland Cavaliers,110,Brooklyn Nets,88,,
Mon Dec 8 2014,Box Score,Atlanta Hawks,108,Indiana Pacers,92,,
Mon Dec 8 2014,Box Score,Phoenix Suns,120,Los Angeles Clippers,121,OT,
Mon Dec 8 2014,Box Score,Golden State Warriors,102,Minnesota Timberwolves,86,,
Mon Dec 8 2014,Box Score,Utah Jazz,92,Sacramento Kings,101,,
Mon Dec 8 2014,Box Score,Denver Nuggets,107,Toronto Raptors,112,OT,
Mon Dec 8 2014,Box Score,Boston Celtics,132,Washington Wizards,133,2OT,
Tue Dec 9 2014,Box Score,Toronto Raptors,101,Cleveland Cavaliers,105,,
Tue Dec 9 2014,Box Score,Portland Trail Blazers,98,Detroit Pistons,86,,
Tue Dec 9 2014,Box Score,Sacramento Kings,95,Los Angeles Lakers,98,,
Tue Dec 9 2014,Box Score,Dallas Mavericks,105,Memphis Grizzlies,114,,
Tue Dec 9 2014,Box Score,New York Knicks,93,New Orleans Pelicans,104,,
Tue Dec 9 2014,Box Score,Milwaukee Bucks,101,Oklahoma City Thunder,114,,
Tue Dec 9 2014,Box Score,Miami Heat,103,Phoenix Suns,97,,
Tue Dec 9 2014,Box Score,San Antonio Spurs,96,Utah Jazz,100,,
Wed Dec 10 2014,Box Score,Philadelphia 76ers,79,Atlanta Hawks,95,,
Wed Dec 10 2014,Box Score,Brooklyn Nets,80,Chicago Bulls,105,,
Wed Dec 10 2014,Box Score,Boston Celtics,87,Charlotte Hornets,96,,
Wed Dec 10 2014,Box Score,New Orleans Pelicans,107,Dallas Mavericks,112,,
Wed Dec 10 2014,Box Score,Miami Heat,82,Denver Nuggets,102,,
Wed Dec 10 2014,Box Score,Houston Rockets,93,Golden State Warriors,105,,
Wed Dec 10 2014,Box Score,Los Angeles Clippers,103,Indiana Pacers,96,,
Wed Dec 10 2014,Box Score,Portland Trail Blazers,82,Minnesota Timberwolves,90,,
Wed Dec 10 2014,Box Score,Washington Wizards,91,Orlando Magic,89,,
Wed Dec 10 2014,Box Score,New York Knicks,95,San Antonio Spurs,109,,
Thu Dec 11 2014,Box Score,Cleveland Cavaliers,94,Oklahoma City Thunder,103,,
Thu Dec 11 2014,Box Score,Houston Rockets,113,Sacramento Kings,109,OT,
Fri Dec 12 2014,,Orlando Magic,,Atlanta Hawks,,,
