Visitor/Neutral;PTS;Home/Neutral;PTS
Portland Trail Blazers;109;Denver Nuggets;118
Sacramento Kings;100;Houston Rockets;121
San Antonio Spurs;86;Los Angeles Lakers;91
Chicago Bulls;93;Miami Heat;105
Dallas Mavericks;107;New Orleans Hornets;89
Indiana Pacers;80;New York Knicks;90
Cleveland Cavaliers;77;Philadelphia 76ers;91
Brooklyn Nets;87;Toronto Raptors;93
Washington Wizards;101;Brooklyn Nets;106
New York Knicks;95;Charlotte Bobcats;106
Miami Heat;96;Cleveland Cavaliers;95
Memphis Grizzlies;103;Dallas Mavericks;97
Philadelphia 76ers;101;Detroit Pistons;109
San Antonio Spurs;106;Golden State Warriors;116
Denver Nuggets;112;Milwaukee Bucks;111
Utah Jazz;96;Minnesota Timberwolves;80
Sacramento Kings;95;Oklahoma City Thunder;104
Chicago Bulls;102;Orlando Magic;84
Houston Rockets;112;Phoenix Suns;119
Toronto Raptors;113;Atlanta Hawks;96
Portland Trail Blazers;77;Los Angeles Clippers;93
Detroit Pistons;99;Brooklyn Nets;103
Cleveland Cavaliers;98;Charlotte Bobcats;105
Washington Wizards;92;Chicago Bulls;95
New Orleans Hornets;87;Dallas Mavericks;99
Phoenix Suns;98;Denver Nuggets;118
Philadelphia 76ers;105;Indiana Pacers;95
Houston Rockets;95;Los Angeles Lakers;99
Utah Jazz;70;Memphis Grizzlies;86
Orlando Magic;93;Miami Heat;105
Atlanta Hawks;92;New York Knicks;98
Milwaukee Bucks;95;Oklahoma City Thunder;89
Golden State Warriors;99;Portland Trail Blazers;88
Los Angeles Clippers;112;Sacramento Kings;108
Minnesota Timberwolves;108;San Antonio Spurs;95
Boston Celtics;90;Toronto Raptors;114
