Visitor/Neutral;PTS;Home/Neutral;PTS
Utah Jazz;116;Houston Rockets;124
Sacramento Kings;81;Los Angeles Clippers;116
Brooklyn Nets;89;Miami Heat;102
Boston Celtics;88;Milwaukee Bucks;91
Oklahoma City Thunder;100;New Orleans Hornets;79
Memphis Grizzlies;95;San Antonio Spurs;99
Orlando Magic;113;Los Angeles Lakers;103
Phoenix Suns;99;New York Knicks;106
Portland Trail Blazers;118;Charlotte Bobcats;112
Toronto Raptors;110;Denver Nuggets;113
Cleveland Cavaliers;79;Detroit Pistons;89
Orlando Magic;102;Golden State Warriors;94
Milwaukee Bucks;81;New Orleans Hornets;102
Los Angeles Clippers;105;Utah Jazz;104
Oklahoma City Thunder;117;Brooklyn Nets;111
Indiana Pacers;80;Chicago Bulls;76
Los Angeles Lakers;105;Houston Rockets;107
Phoenix Suns;98;Memphis Grizzlies;108
Minnesota Timberwolves;105;Philadelphia 76ers;88
Miami Heat;101;Washington Wizards;105
Denver Nuggets;104;Atlanta Hawks;108
Minnesota Timberwolves;94;Boston Celtics;104
New York Knicks;100;Charlotte Bobcats;98
Chicago Bulls;95;Cleveland Cavaliers;85
Golden State Warriors;104;Detroit Pistons;97
Portland Trail Blazers;92;Indiana Pacers;99
Dallas Mavericks;90;Los Angeles Clippers;112
Los Angeles Lakers;103;New Orleans Hornets;87
Toronto Raptors;100;Sacramento Kings;107
Milwaukee Bucks;99;San Antonio Spurs;110
Orlando Magic;81;Utah Jazz;87
New York Knicks;112;Miami Heat;92
Dallas Mavericks;97;Phoenix Suns;94
Washington Wizards;95;Atlanta Hawks;104
Golden State Warriors;109;Brooklyn Nets;102
Chicago Bulls;108;Detroit Pistons;104
Denver Nuggets;92;Indiana Pacers;89
Charlotte Bobcats;93;Milwaukee Bucks;108
Cleveland Cavaliers;73;Minnesota Timberwolves;91
Memphis Grizzlies;96;New Orleans Hornets;89
Los Angeles Lakers;108;Oklahoma City Thunder;114
Boston Celtics;94;Philadelphia 76ers;95
Orlando Magic;82;Sacramento Kings;91
Houston Rockets;92;San Antonio Spurs;114
Toronto Raptors;99;Utah Jazz;131
Philadelphia 76ers;79;Boston Celtics;92
San Antonio Spurs;132;Charlotte Bobcats;102
New York Knicks;85;Chicago Bulls;93
Detroit Pistons;104;Cleveland Cavaliers;97
Dallas Mavericks;116;Houston Rockets;109
Phoenix Suns;99;Los Angeles Clippers;117
Atlanta Hawks;93;Memphis Grizzlies;83
New Orleans Hornets;90;Miami Heat;106
Sacramento Kings;99;Portland Trail Blazers;80
Golden State Warriors;101;Washington Wizards;97
Milwaukee Bucks;97;Brooklyn Nets;88
Toronto Raptors;83;Los Angeles Clippers;102
Utah Jazz;117;Los Angeles Lakers;110
Denver Nuggets;106;New York Knicks;112
Indiana Pacers;93;Oklahoma City Thunder;104
Orlando Magic;98;Phoenix Suns;90
Golden State Warriors;104;Charlotte Bobcats;96
Sacramento Kings;96;Dallas Mavericks;119
San Antonio Spurs;134;Houston Rockets;126
Atlanta Hawks;92;Miami Heat;101
Detroit Pistons;97;Philadelphia 76ers;104
Toronto Raptors;74;Portland Trail Blazers;92
New York Knicks;100;Brooklyn Nets;97
Los Angeles Clippers;94;Chicago Bulls;89
Los Angeles Lakers;94;Cleveland Cavaliers;100
Denver Nuggets;101;Detroit Pistons;94
Washington Wizards;77;New Orleans Hornets;70
Dallas Mavericks;115;Boston Celtics;117
Los Angeles Clippers;100;Charlotte Bobcats;94
Washington Wizards;93;Houston Rockets;99
Cleveland Cavaliers;81;Indiana Pacers;96
Golden State Warriors;97;Miami Heat;95
Sacramento Kings;85;Milwaukee Bucks;98
Denver Nuggets;105;Minnesota Timberwolves;108
New Orleans Hornets;88;Oklahoma City Thunder;92
Atlanta Hawks;86;Orlando Magic;80
Chicago Bulls;96;Philadelphia 76ers;89
Memphis Grizzlies;80;Phoenix Suns;82
Brooklyn Nets;94;Toronto Raptors;88
San Antonio Spurs;96;Utah Jazz;99
Charlotte Bobcats;90;Atlanta Hawks;113
Los Angeles Lakers;107;New York Knicks;116
San Antonio Spurs;90;Portland Trail Blazers;98
Detroit Pistons;105;Brooklyn Nets;107
Milwaukee Bucks;90;Cleveland Cavaliers;86
Memphis Grizzlies;94;Denver Nuggets;99
Boston Celtics;89;Houston Rockets;101
Philadelphia 76ers;85;Indiana Pacers;95
Minnesota Timberwolves;113;New Orleans Hornets;102
Sacramento Kings;103;Oklahoma City Thunder;113
Golden State Warriors;85;Orlando Magic;99
Utah Jazz;84;Phoenix Suns;99
Dallas Mavericks;74;Toronto Raptors;95
Los Angeles Lakers;102;Washington Wizards;96
Golden State Warriors;115;Atlanta Hawks;93
Orlando Magic;107;Charlotte Bobcats;98
Brooklyn Nets;82;Chicago Bulls;83
Indiana Pacers;88;Detroit Pistons;77
Washington Wizards;72;Miami Heat;102
Los Angeles Clippers;111;Milwaukee Bucks;85
Dallas Mavericks;106;Minnesota Timberwolves;114
Cleveland Cavaliers;102;New York Knicks;103
Boston Celtics;88;San Antonio Spurs;103
